,Passed Subjects,Student's Avg Score,Student ID,Gender
0,6,81.3,1,Female
1,4,76.4,2,Male
2,5,80.3,3,Female
3,5,83.4,4,Male
4,6,88.0,5,Female
5,3,75.3,6,Female
6,4,81.9,7,Female
7,6,82.4,8,Male
8,5,80.6,9,Female
9,3,76.9,10,Male
10,5,84.6,11,Genderqueer
11,7,89.6,12,Female
12,5,79.3,13,Male
13,5,85.1,14,Male
14,4,77.9,15,Male
15,7,89.4,16,Male
16,5,83.4,17,Male
17,5,79.4,18,Female
18,6,79.3,19,Female
19,6,82.3,20,Female
20,4,81.3,21,Genderfluid
21,6,84.0,22,Male
22,7,88.0,23,Bigender
23,5,86.3,24,Male
24,6,85.1,25,Female
25,4,78.7,26,Male
26,4,76.1,27,Female
27,3,76.1,28,Female
28,5,80.3,29,Female
29,1,69.4,30,Male
30,4,74.0,31,Female
31,3,77.4,32,Female
32,3,75.7,33,Male
33,4,76.6,34,Genderqueer
34,6,88.1,35,Genderfluid
35,4,77.7,36,Genderqueer
36,4,82.3,37,Male
37,3,76.7,38,Male
38,2,72.9,39,Female
39,3,75.1,40,Female
40,4,75.4,41,Female
41,5,86.7,42,Male
42,7,86.3,43,Male
43,5,82.4,44,Female
44,5,81.6,45,Male
45,4,81.1,46,Female
46,6,83.6,47,Male
47,5,77.6,48,Female
48,5,82.6,49,Female
49,4,74.7,50,Male
50,6,84.9,51,Female
51,5,78.7,52,Male
52,3,77.3,53,Male
53,5,83.9,54,Female
54,5,83.9,55,Female
55,6,89.7,56,Male
56,6,86.6,57,Male
57,7,84.3,58,Polygender
58,2,73.4,59,Male
59,3,70.4,60,Male
60,3,73.9,61,Male
61,4,77.6,62,Male
62,5,87.1,63,Male
63,4,74.6,64,Female
64,7,89.4,65,Female
65,5,82.0,66,Male
66,4,76.6,67,Polygender
67,5,79.0,68,Male
68,5,80.0,69,Female
69,5,80.7,70,Male
70,6,80.1,71,Male
71,3,75.0,72,Male
72,3,72.1,73,Female
73,3,76.7,74,Female
74,2,74.3,75,Female
75,3,79.7,76,Male
76,4,80.6,77,Female
77,3,77.0,78,Female
78,3,76.1,79,Genderfluid
79,7,88.6,80,Male
80,4,78.1,81,Bigender
81,3,79.4,82,Female
82,4,77.6,83,Female
83,6,86.4,84,Male
84,6,81.9,85,Female
85,5,82.6,86,Female
86,5,77.1,87,Male
87,4,75.3,88,Male
88,6,86.4,89,Male
89,4,82.6,90,Bigender
90,3,76.1,91,Male
91,4,78.6,92,Female
92,3,72.7,93,Female
93,5,79.4,94,Male
94,4,75.7,95,Female
95,5,85.9,96,Male
96,4,79.4,97,Bigender
97,3,74.0,98,Male
98,5,84.6,99,Female
99,7,83.1,100,Male
100,6,83.9,101,Female
101,7,86.4,102,Male
102,3,72.6,103,Female
103,5,77.7,104,Female
104,5,82.7,105,Male
105,4,77.0,106,Male
106,5,80.4,107,Female
107,2,73.6,108,Female
108,3,73.3,109,Female
109,4,74.1,110,Male
110,4,76.1,111,Female
111,5,80.1,112,Male
112,4,81.6,113,Female
113,5,81.0,114,Male
114,4,76.3,115,Polygender
115,3,80.4,116,Male
116,5,82.3,117,Female
117,0,65.7,118,Male
118,4,82.6,119,Genderfluid
119,4,78.0,120,Female
120,2,71.9,121,Polygender
121,5,78.3,122,Female
122,5,81.7,123,Female
123,5,80.7,124,Male
124,6,82.3,125,Female
125,2,71.1,126,Male
126,5,79.7,127,Bigender
127,4,80.9,128,Female
128,4,81.1,129,Female
129,7,88.3,130,Male
130,4,84.0,131,Male
131,5,82.3,132,Female
132,4,74.9,133,Female
133,5,82.0,134,Male
134,4,80.3,135,Female
135,4,79.3,136,Male
136,4,79.9,137,Female
137,4,80.1,138,Female
138,4,79.0,139,Female
139,4,76.1,140,Female
140,5,82.9,141,Polygender
141,3,73.7,142,Female
142,4,78.1,143,Male
143,4,81.0,144,Female
144,7,88.7,145,Female
145,5,84.3,146,Female
146,6,85.6,147,Male
147,2,69.1,148,Genderfluid
148,6,86.4,149,Female
149,3,77.6,150,Male
150,7,87.6,151,Female
151,4,75.0,152,Female
152,4,76.0,153,Polygender
153,4,75.7,154,Female
154,5,76.7,155,Female
155,6,84.3,156,Female
156,4,78.3,157,Male
157,1,69.6,158,Male
158,6,85.7,159,Female
159,2,68.3,160,Male
160,5,84.6,161,Bigender
161,5,82.4,162,Male
162,6,85.0,163,Male
163,4,82.1,164,Male
164,5,80.3,165,Male
165,5,80.7,166,Male
166,4,74.4,167,Female
167,5,80.6,168,Female
168,6,87.0,169,Polygender
169,4,80.6,170,Male
170,4,77.0,171,Male
171,3,73.9,172,Male
172,4,77.7,173,Male
173,2,72.6,174,Female
174,5,80.9,175,Female
175,5,83.7,176,Female
176,3,75.3,177,Male
177,4,75.3,178,Female
178,4,78.1,179,Non-binary
179,7,86.9,180,Female
180,4,76.7,181,Male
181,5,80.7,182,Male
182,3,75.4,183,Male
183,5,85.0,184,Male
184,6,85.1,185,Female
185,2,73.4,186,Bigender
186,5,84.0,187,Female
187,5,84.6,188,Female
188,3,75.9,189,Male
189,4,79.9,190,Genderqueer
190,5,81.4,191,Male
191,3,78.3,192,Male
192,4,83.4,193,Male
193,6,85.3,194,Male
194,4,79.4,195,Genderfluid
195,4,83.0,196,Male
196,6,86.7,197,Male
197,5,83.9,198,Female
198,3,74.6,199,Genderqueer
199,3,75.9,200,Male
200,6,85.0,201,Male
201,4,81.3,202,Female
202,6,90.1,203,Male
203,4,77.4,204,Non-binary
204,2,74.4,205,Female
205,5,83.0,206,Male
206,4,77.0,207,Male
207,3,78.6,208,Female
208,4,84.3,209,Female
209,4,80.3,210,Female
210,2,73.4,211,Male
211,6,80.6,212,Male
212,5,77.0,213,Male
213,4,80.9,214,Female
214,3,71.1,215,Female
215,5,82.6,216,Non-binary
216,2,73.1,217,Male
217,6,84.6,218,Female
218,5,80.6,219,Bigender
219,6,87.3,220,Female
220,5,77.9,221,Male
221,3,78.4,222,Male
222,3,79.7,223,Female
223,3,75.1,224,Male
224,5,84.0,225,Male
225,4,78.9,226,Female
226,6,83.9,227,Male
227,6,82.1,228,Female
228,5,82.7,229,Male
229,4,79.7,230,Female
230,5,76.3,231,Male
231,6,81.3,232,Female
232,3,80.3,233,Female
233,3,70.7,234,Female
234,5,82.9,235,Female
235,6,83.9,236,Female
236,4,80.7,237,Female
237,5,85.0,238,Female
238,3,76.7,239,Non-binary
239,5,83.4,240,Male
240,5,81.9,241,Male
241,4,79.1,242,Male
242,5,83.7,243,Male
243,4,80.1,244,Female
244,4,79.4,245,Male
245,3,73.1,246,Male
246,3,77.1,247,Female
247,3,73.1,248,Male
248,3,73.9,249,Male
249,2,75.0,250,Male
250,4,76.7,251,Female
251,4,84.3,252,Female
252,4,80.4,253,Male
253,4,77.0,254,Female
254,5,81.6,255,Female
255,5,77.9,256,Female
256,3,75.9,257,Male
257,4,75.6,258,Male
258,6,87.1,259,Female
259,5,85.4,260,Female
260,4,78.1,261,Female
261,5,83.9,262,Male
262,5,82.6,263,Male
263,4,74.9,264,Male
264,4,78.7,265,Male
265,6,85.9,266,Male
266,7,87.4,267,Female
267,4,80.1,268,Male
268,5,81.0,269,Female
269,4,78.4,270,Male
270,4,82.3,271,Female
271,6,87.1,272,Female
272,6,79.6,273,Female
273,4,81.6,274,Female
274,5,81.4,275,Male
275,4,79.0,276,Male
276,4,74.4,277,Female
277,4,76.3,278,Male
278,5,81.1,279,Male
279,6,82.4,280,Non-binary
280,5,79.6,281,Female
281,6,86.3,282,Male
282,2,71.9,283,Female
283,4,80.0,284,Male
284,5,82.6,285,Male
285,1,72.3,286,Male
286,4,80.7,287,Female
287,5,81.3,288,Male
288,6,88.1,289,Male
289,3,77.9,290,Female
290,6,78.4,291,Female
291,4,74.3,292,Agender
292,1,68.7,293,Male
293,6,82.9,294,Female
294,4,84.9,295,Female
295,4,79.7,296,Male
296,4,80.3,297,Male
297,7,86.6,298,Female
298,4,82.3,299,Female
299,6,88.7,300,Female
300,3,75.9,301,Female
301,5,84.3,302,Male
302,6,84.0,303,Female
303,2,70.6,304,Agender
304,5,80.6,305,Male
305,3,76.1,306,Male
306,6,87.7,307,Male
307,3,74.1,308,Male
308,5,79.1,309,Female
309,6,81.4,310,Genderfluid
310,5,78.6,311,Male
311,6,82.7,312,Male
312,7,87.0,313,Male
313,5,84.6,314,Female
314,5,77.1,315,Male
315,5,81.0,316,Male
316,4,74.7,317,Female
317,7,84.1,318,Male
318,5,81.3,319,Female
319,4,80.6,320,Female
320,6,88.4,321,Bigender
321,5,83.1,322,Female
322,6,85.3,323,Male
323,3,76.6,324,Female
324,5,83.7,325,Male
325,5,84.3,326,Genderfluid
326,3,74.6,327,Male
327,6,84.1,328,Female
328,5,81.0,329,Female
329,4,78.6,330,Male
330,3,75.4,331,Female
331,1,70.6,332,Bigender
332,5,81.6,333,Female
333,2,71.0,334,Male
334,5,80.4,335,Male
335,5,81.6,336,Male
336,5,86.1,337,Female
337,4,74.4,338,Female
338,6,84.0,339,Female
339,6,81.9,340,Male
340,5,83.0,341,Female
341,3,76.4,342,Male
342,3,76.6,343,Male
343,5,82.3,344,Female
344,4,80.9,345,Female
345,4,79.1,346,Female
346,6,80.7,347,Female
347,3,77.3,348,Female
348,3,76.4,349,Male
349,5,85.7,350,Male
350,5,81.9,351,Male
351,5,77.7,352,Male
352,5,83.4,353,Female
353,5,75.0,354,Female
354,3,75.1,355,Non-binary
355,3,73.1,356,Female
356,4,79.1,357,Male
357,5,85.9,358,Female
358,1,69.0,359,Male
359,4,81.4,360,Male
360,4,79.7,361,Male
361,3,74.3,362,Polygender
362,4,82.9,363,Female
363,2,74.4,364,Male
364,3,71.9,365,Female
365,5,77.4,366,Male
366,6,81.9,367,Female
367,5,83.3,368,Female
368,3,75.1,369,Female
369,3,78.0,370,Female
370,6,86.7,371,Male
371,5,80.6,372,Male
372,6,79.1,373,Male
373,3,76.0,374,Male
374,6,78.0,375,Female
375,4,81.0,376,Female
376,6,87.6,377,Male
377,3,74.6,378,Male
378,4,80.4,379,Male
379,6,84.0,380,Male
380,5,80.1,381,Female
381,7,89.6,382,Male
382,4,80.3,383,Genderqueer
383,3,77.9,384,Female
384,4,79.4,385,Female
385,5,78.0,386,Male
386,3,74.9,387,Female
387,4,77.4,388,Male
388,5,79.7,389,Male
389,5,82.3,390,Male
390,2,71.3,391,Female
391,6,85.3,392,Polygender
392,3,73.9,393,Polygender
393,4,73.7,394,Male
394,4,80.6,395,Male
395,3,79.9,396,Female
396,5,87.1,397,Male
397,4,81.9,398,Male
398,5,80.7,399,Female
399,3,79.4,400,Agender
400,4,78.4,401,Female
401,5,80.4,402,Male
402,3,77.9,403,Male
403,3,75.6,404,Female
404,5,81.6,405,Male
405,5,81.6,406,Female
406,5,82.3,407,Male
407,5,80.7,408,Female
408,5,79.9,409,Male
409,3,80.3,410,Male
410,6,84.1,411,Female
411,6,83.6,412,Male
412,4,81.0,413,Female
413,1,70.4,414,Female
414,3,76.3,415,Female
415,3,76.3,416,Female
416,4,79.4,417,Male
417,6,81.9,418,Female
418,5,78.3,419,Male
