,Avg student total points per grade,Total Points per Student,Grade,Points,Subject,Score,Student ID
3,31.09,44,F,1,Maths,65,4
4,38.34,52,B,8,Maths,86,5
7,36.19,42,C,6,Maths,82,8
10,31.09,45,F,1,Maths,61,11
13,31.09,45,F,1,Maths,63,14
16,32.72,42,E,2,Maths,70,17
21,38.34,43,B,8,Maths,91,22
22,34.24,52,D,4,Maths,78,23
24,38.34,47,B,8,Maths,90,25
41,38.34,51,B,8,Maths,90,42
43,34.24,41,D,4,Maths,76,44
46,34.24,41,D,4,Maths,79,47
48,36.19,39,C,6,Maths,81,49
50,34.24,46,D,4,Maths,75,51
55,31.09,55,F,1,Maths,62,56
56,36.19,48,C,6,Maths,81,57
57,34.24,44,D,4,Maths,76,58
79,34.24,52,D,4,Maths,77,80
85,32.72,40,E,2,Maths,68,86
88,38.34,47,B,8,Maths,92,89
89,31.09,41,F,1,Maths,64,90
95,36.19,45,C,6,Maths,84,96
99,34.24,42,D,4,Maths,76,100
100,36.19,42,C,6,Maths,82,101
101,34.24,46,D,4,Maths,76,102
104,31.09,41,F,1,Maths,62,105
129,38.34,52,B,8,Maths,87,130
130,31.09,42,F,1,Maths,64,131
140,38.34,44,B,8,Maths,87,141
145,34.24,44,D,4,Maths,76,146
148,36.19,47,C,6,Maths,84,149
150,38.34,48,B,8,Maths,88,151
155,38.34,44,B,8,Maths,91,156
161,36.19,38,C,6,Maths,85,162
162,38.34,46,B,8,Maths,89,163
179,34.24,48,D,4,Maths,79,180
184,34.24,44,D,4,Maths,77,185
186,38.34,46,B,8,Maths,87,187
192,38.34,41,B,8,Maths,91,193
193,34.24,44,D,4,Maths,75,194
195,32.72,39,E,2,Maths,71,196
202,34.24,56,D,4,Maths,73,203
205,34.24,40,D,4,Maths,79,206
215,36.19,43,C,6,Maths,80,216
217,36.19,42,C,6,Maths,81,218
219,34.24,50,D,4,Maths,76,220
224,31.09,43,F,1,Maths,62,225
226,32.72,44,E,2,Maths,70,227
228,31.09,39,F,1,Maths,64,229
235,36.19,44,C,6,Maths,82,236
237,32.72,44,E,2,Maths,70,238
239,36.19,43,C,6,Maths,81,240
242,32.72,42,E,2,Maths,70,243
258,38.34,49,B,8,Maths,90,259
261,38.34,43,B,8,Maths,88,262
262,34.24,43,D,4,Maths,79,263
265,36.19,46,C,6,Maths,81,266
266,34.24,48,D,4,Maths,77,267
271,34.24,51,D,4,Maths,78,272
279,34.24,41,D,4,Maths,76,280
284,32.72,43,E,2,Maths,69,285
288,38.34,50,B,8,Maths,89,289
293,38.34,41,B,8,Maths,91,294
294,34.24,44,D,4,Maths,74,295
297,34.24,50,D,4,Maths,75,298
299,34.24,52,D,4,Maths,77,300
301,32.72,43,E,2,Maths,71,302
302,36.19,44,C,6,Maths,85,303
306,38.34,50,B,8,Maths,89,307
317,38.34,42,B,8,Maths,89,318
321,36.19,40,C,6,Maths,81,322
322,38.34,44,B,8,Maths,92,323
324,36.19,42,C,6,Maths,80,325
325,38.34,47,B,8,Maths,86,326
327,38.34,42,B,8,Maths,90,328
336,31.09,47,F,1,Maths,62,337
338,34.24,44,D,4,Maths,75,339
340,38.34,44,B,8,Maths,89,341
349,34.24,46,D,4,Maths,75,350
357,38.34,48,B,8,Maths,87,358
362,32.72,40,E,2,Maths,71,363
367,36.19,41,C,6,Maths,81,368
381,36.19,56,C,6,Maths,82,382
391,38.34,43,B,8,Maths,91,392
410,38.34,42,B,8,Maths,92,411
411,38.34,42,B,8,Maths,88,412
425,34.24,43,D,4,Maths,74,426
433,38.34,43,B,8,Maths,88,434
