,index,Row ID,Order Date,Customer ID,Year,First Purchase,Order?,Prev Year?,Customer Classification,YoY Difference
0,2229,2230.0,2018-03-31,AA-10315,2018,2018,1,,New,
1,2230,2231.0,2018-03-31,AA-10315,2018,2018,1,1.0,Consistent,0.0
2,7468,7469.0,2018-09-15,AA-10315,2018,2018,1,1.0,Consistent,0.0
3,7469,7470.0,2018-09-15,AA-10315,2018,2018,1,1.0,Consistent,0.0
4,1299,1300.0,2019-04-10,AA-10315,2019,2018,1,1.0,Consistent,-205.0
5,5198,5199.0,2020-03-03,AA-10315,2020,2018,1,1.0,Consistent,281.0
6,5199,5200.0,2020-03-03,AA-10315,2020,2018,1,1.0,Consistent,0.0
7,5200,5201.0,2020-03-03,AA-10315,2020,2018,1,1.0,Consistent,0.0
8,5201,5202.0,2020-03-03,AA-10315,2020,2018,1,1.0,Consistent,0.0
9,1159,1160.0,2021-06-29,AA-10315,2021,2018,1,1.0,Consistent,430.0
10,1160,1161.0,2021-06-29,AA-10315,2021,2018,1,1.0,Consistent,0.0
11,1172,1173.0,2018-04-21,AA-10375,2018,2018,1,,New,-506.0
12,3007,3008.0,2018-10-24,AA-10375,2018,2018,1,1.0,Consistent,0.0
13,807,808.0,2019-03-02,AA-10375,2019,2018,1,1.0,Consistent,-205.0
14,808,809.0,2019-03-02,AA-10375,2019,2018,1,1.0,Consistent,0.0
15,1978,1979.0,2019-08-05,AA-10375,2019,2018,1,1.0,Consistent,0.0
16,6465,6466.0,2019-11-13,AA-10375,2019,2018,1,1.0,Consistent,0.0
17,535,536.0,2020-10-07,AA-10375,2020,2018,1,1.0,Consistent,281.0
18,2263,2264.0,2020-11-14,AA-10375,2020,2018,1,1.0,Consistent,0.0
19,2264,2265.0,2020-11-14,AA-10375,2020,2018,1,1.0,Consistent,0.0
20,2265,2266.0,2020-11-14,AA-10375,2020,2018,1,1.0,Consistent,0.0
21,6747,6748.0,2021-11-12,AA-10375,2021,2018,1,1.0,Consistent,430.0
22,6748,6749.0,2021-11-12,AA-10375,2021,2018,1,1.0,Consistent,0.0
23,6749,6750.0,2021-11-12,AA-10375,2021,2018,1,1.0,Consistent,0.0
24,9538,9539.0,2021-07-09,AA-10375,2021,2018,1,1.0,Consistent,0.0
25,9539,9540.0,2021-07-09,AA-10375,2021,2018,1,1.0,Consistent,0.0
26,1459,1460.0,2018-04-05,AA-10480,2018,2018,1,,New,-506.0
27,9995,,,AA-10480,2019,2018,0,1.0,Sleeping,-205.0
28,3107,3108.0,2020-07-17,AA-10480,2020,2018,1,0.0,Returning,281.0
29,3108,3109.0,2020-07-17,AA-10480,2020,2018,1,1.0,Consistent,0.0
30,3109,3110.0,2020-07-17,AA-10480,2020,2018,1,1.0,Consistent,0.0
31,3110,3111.0,2020-07-17,AA-10480,2020,2018,1,1.0,Consistent,0.0
32,3111,3112.0,2020-07-17,AA-10480,2020,2018,1,1.0,Consistent,0.0
33,7702,7703.0,2020-08-26,AA-10480,2020,2018,1,1.0,Consistent,0.0
34,7703,7704.0,2020-08-26,AA-10480,2020,2018,1,1.0,Consistent,0.0
35,7704,7705.0,2020-08-26,AA-10480,2020,2018,1,1.0,Consistent,0.0
36,7705,7706.0,2020-08-26,AA-10480,2020,2018,1,1.0,Consistent,0.0
37,7706,7707.0,2020-08-26,AA-10480,2020,2018,1,1.0,Consistent,0.0
38,12,13.0,2021-04-15,AA-10480,2021,2018,1,1.0,Consistent,430.0
39,4020,4021.0,2018-06-22,AA-10645,2018,2018,1,,New,-506.0
40,4021,4022.0,2018-06-22,AA-10645,2018,2018,1,1.0,Consistent,0.0
41,4022,4023.0,2018-06-22,AA-10645,2018,2018,1,1.0,Consistent,0.0
42,8003,8004.0,2018-01-12,AA-10645,2018,2018,1,1.0,Consistent,0.0
43,8004,8005.0,2018-01-12,AA-10645,2018,2018,1,1.0,Consistent,0.0
44,8005,8006.0,2018-01-12,AA-10645,2018,2018,1,1.0,Consistent,0.0
45,8007,8008.0,2019-11-17,AA-10645,2019,2018,1,1.0,Consistent,-205.0
46,8008,8009.0,2019-11-17,AA-10645,2019,2018,1,1.0,Consistent,0.0
47,8009,8010.0,2019-11-17,AA-10645,2019,2018,1,1.0,Consistent,0.0
48,4451,4452.0,2020-04-07,AA-10645,2020,2018,1,1.0,Consistent,281.0
49,4452,4453.0,2020-04-07,AA-10645,2020,2018,1,1.0,Consistent,0.0
50,4453,4454.0,2020-04-07,AA-10645,2020,2018,1,1.0,Consistent,0.0
51,4454,4455.0,2020-04-07,AA-10645,2020,2018,1,1.0,Consistent,0.0
52,6036,6037.0,2020-04-09,AA-10645,2020,2018,1,1.0,Consistent,0.0
53,6037,6038.0,2020-04-09,AA-10645,2020,2018,1,1.0,Consistent,0.0
54,6038,6039.0,2020-04-09,AA-10645,2020,2018,1,1.0,Consistent,0.0
55,6039,6040.0,2020-04-09,AA-10645,2020,2018,1,1.0,Consistent,0.0
56,7489,7490.0,2021-05-11,AA-10645,2021,2018,1,1.0,Consistent,430.0
57,4961,4962.0,2018-07-03,AB-10015,2018,2018,1,,New,-506.0
58,4962,4963.0,2018-07-03,AB-10015,2018,2018,1,1.0,Consistent,0.0
59,4963,4964.0,2018-07-03,AB-10015,2018,2018,1,1.0,Consistent,0.0
60,8222,8223.0,2018-02-18,AB-10015,2018,2018,1,1.0,Consistent,0.0
61,10364,,,AB-10015,2019,2018,0,1.0,Sleeping,-205.0
62,8801,8802.0,2020-10-11,AB-10015,2020,2018,1,0.0,Returning,281.0
63,8802,8803.0,2020-10-11,AB-10015,2020,2018,1,1.0,Consistent,0.0
64,10365,,,AB-10015,2021,2018,0,1.0,Sleeping,430.0
65,5050,5051.0,2019-09-18,AB-10060,2019,2019,1,,New,-2027.0
66,349,350.0,2020-01-09,AB-10060,2020,2019,1,1.0,Consistent,-20.0
